cell_id,N_all,N_nocert_accepted,N_pcg_answered,nocert_bad_accept_count_all,pcg_bad_accept_count_on_A,nocert_bad_accept_incidence_all,nocert_conditional_harm,mean_nocert_loss_on_A,pcg_conditional_harm_on_A,S,S_ci_low,S_ci_high,V,V_ci_low,V_ci_high,S_plus_V,identity_residual,pairing_hash
Llama-3.3-70B__FEVER,240,230,202,18,7,0.0750,0.0783,0.0743,0.0347,0.0007,-0.0143,0.0157,0.0396,0.0196,0.0596,0.0403,0.00000000000000,cbedce9d2d92bc10
Llama-3.3-70B__HotpotQA,240,230,202,29,9,0.1208,0.1261,0.1238,0.0446,-0.0029,-0.0179,0.0121,0.0792,0.0592,0.0992,0.0763,0.00000000000000,39f089b014e96d80
Llama-3.3-70B__2WikiMultihopQA,240,230,202,26,6,0.1083,0.1130,0.1188,0.0297,-0.0105,-0.0255,0.0045,0.0891,0.0691,0.1091,0.0786,0.00000000000000,4f68ca9e9775d031
Llama-3.3-70B__PubMedQA,240,230,202,30,19,0.1250,0.1304,0.1337,0.0941,-0.0087,-0.0237,0.0063,0.0396,0.0196,0.0596,0.0309,0.00000000000000,00d496bd15789eed
Llama-3.3-70B__TAT-QA,240,230,202,29,15,0.1208,0.1261,0.1238,0.0743,-0.0029,-0.0179,0.0121,0.0495,0.0295,0.0695,0.0466,0.00000000000000,6d1fa374d05a6a97
Llama-3.3-70B__ToolBench,240,230,202,38,17,0.1583,0.1652,0.1683,0.0842,-0.0100,-0.0250,0.0050,0.0842,0.0642,0.1042,0.0742,0.00000000000000,a83dd6b486f8617e
Llama-3.3-70B__WebLINX,240,230,202,38,12,0.1583,0.1652,0.1584,0.0594,-0.0001,-0.0151,0.0149,0.0990,0.0790,0.1190,0.0989,0.00000000000000,5cb38ac0d03505df
Llama-3.3-70B__Adversarial-Integrity,240,230,201,54,19,0.2250,0.2348,0.2189,0.0945,0.0061,-0.0089,0.0211,0.1244,0.1044,0.1444,0.1305,0.00000000000000,26d0480e8f4a818a
deepseek-v3__FEVER,240,230,203,21,7,0.0875,0.0913,0.0985,0.0345,-0.0110,-0.0260,0.0040,0.0640,0.0440,0.0840,0.0530,0.00000000000000,393410aeeba8e108
deepseek-v3__HotpotQA,240,230,202,27,14,0.1125,0.1174,0.1089,0.0693,0.0036,-0.0114,0.0186,0.0396,0.0196,0.0596,0.0432,0.00000000000000,9d6c95b67ce72683
deepseek-v3__2WikiMultihopQA,240,230,202,34,14,0.1417,0.1478,0.1337,0.0693,0.0080,-0.0070,0.0230,0.0644,0.0444,0.0844,0.0724,0.00000000000000,747126bfd2ea26d1
deepseek-v3__PubMedQA,240,230,202,30,15,0.1250,0.1304,0.1287,0.0743,-0.0037,-0.0187,0.0113,0.0545,0.0345,0.0745,0.0507,0.00000000000000,3c8455554ddf6f24
deepseek-v3__TAT-QA,240,230,202,28,10,0.1167,0.1217,0.1089,0.0495,0.0078,-0.0072,0.0228,0.0594,0.0394,0.0794,0.0672,0.00000000000000,c97dd1dd37d9ffc1
deepseek-v3__ToolBench,240,230,202,35,14,0.1458,0.1522,0.1535,0.0693,-0.0076,-0.0226,0.0074,0.0842,0.0642,0.1042,0.0765,0.00000000000000,8424d327d0253a11
deepseek-v3__WebLINX,240,230,202,35,15,0.1458,0.1522,0.1436,0.0743,0.0023,-0.0127,0.0173,0.0693,0.0493,0.0893,0.0716,0.00000000000000,6dc49a9859f66c48
deepseek-v3__Adversarial-Integrity,240,230,202,43,21,0.1792,0.1870,0.1733,0.1040,0.0059,-0.0091,0.0209,0.0693,0.0493,0.0893,0.0752,0.00000000000000,d0e82a36ed4ece1e
