method,threshold_index,n_datasets,mean_coverage,mean_risk,q15_risk,q85_risk
MiniCheck,0.9166666666666666,8,65.90262524436358,13.829938670883122,11.096289437202858,16.005511278565685
MiniCheck,0.9583333333333331,8,64.47110405962171,13.564709328935413,11.129668113484566,15.95701090137492
MiniCheck,1.0,8,63.016354587511145,13.660857109836135,10.786943490394359,16.00745687016292
AlignScore,0.0,8,99.08689449214891,19.1339271430164,16.532907684784,21.03183314964047
AlignScore,0.0416666666666666,8,97.53080996955487,18.740202567094062,16.226675825240008,21.120583884204546
AlignScore,0.0833333333333333,8,96.13593894810464,18.447352394070208,16.04062992551039,20.675327569969465
AlignScore,0.125,8,94.54766507981726,18.018016196766098,15.59416633940235,19.95582203118959
AlignScore,0.1666666666666666,8,92.96791337132812,17.5933106452896,14.98543241370776,19.77250051462123
AlignScore,0.2083333333333333,8,91.58160969596413,17.320929379643097,14.639950650472942,19.73518128083051
AlignScore,0.25,8,90.11524163400429,17.075681933497094,14.769781273793253,19.14769074513551
AlignScore,0.2916666666666666,8,88.53777246684392,16.687816854158548,14.114454182519744,18.604973085575832
AlignScore,0.3333333333333333,8,86.88097899445717,16.417471654289507,13.69886309085452,19.013013978744873
AlignScore,0.375,8,85.51280432832579,16.174250125141846,13.81112153860574,18.246109148430403
AlignScore,0.4166666666666666,8,83.9692922669428,15.781322614374826,13.288760185703048,18.272711709569627
AlignScore,0.4583333333333333,8,82.6330235837714,15.514959444870193,12.69567231903412,17.89743330673841
AlignScore,0.5,8,81.03334917897485,15.378716293207393,12.72234647695371,17.43984483653045
AlignScore,0.5416666666666666,8,79.61195951942241,14.996000293409036,12.153769293450228,17.337596007076367
AlignScore,0.5833333333333333,8,78.30475952215494,14.814564491420377,12.126373296249671,17.38707169074879
AlignScore,0.625,8,76.37190705766736,14.49155476441538,11.585218055722116,16.82210666585447
AlignScore,0.6666666666666666,8,75.04464415398189,14.271523247956551,11.650498398031266,16.13078910075904
AlignScore,0.7083333333333333,8,73.52148657646008,14.04432807063977,11.296452976765835,16.34468651682712
AlignScore,0.75,8,71.78559678849038,13.786847744274253,11.058286605615859,15.949911248182012
AlignScore,0.7916666666666666,8,70.64136205161067,13.781740301223834,11.229750068888885,15.88689697366849
AlignScore,0.8333333333333333,8,68.98173597015773,13.62985060541467,11.094609525162014,16.1202674596686
AlignScore,0.875,8,67.55687609622679,13.478759385210243,10.820256051412796,15.689773690844577
AlignScore,0.9166666666666666,8,66.13795044214045,13.238746991689506,10.805326745913515,15.093726766867258
AlignScore,0.9583333333333331,8,64.54299004583848,13.147800344847708,10.447752160314318,15.547700566249723
AlignScore,1.0,8,62.780417044981824,13.14266774155357,10.634224888811879,15.130028662016828
QAFactEval,0.0,8,99.12774745962055,19.845559451643062,17.43521250731029,22.095251408446547
QAFactEval,0.0416666666666666,8,97.62082892402297,19.496629023126623,16.583714939131884,21.789559561459452
QAFactEval,0.0833333333333333,8,96.0753526948997,19.277220680170274,16.50691760257339,21.367140285740188
QAFactEval,0.125,8,94.50136099524575,18.86145189607001,16.388215091486586,21.126270615326963
QAFactEval,0.1666666666666666,8,92.83362348716004,18.66516482031007,15.825078652082004,20.880298038428222
QAFactEval,0.2083333333333333,8,91.53046238875729,18.139954591023994,15.57765917108081,20.66591708147544
QAFactEval,0.25,8,89.95709837443877,17.881621767397714,15.58035927023193,19.809402849646528
QAFactEval,0.2916666666666666,8,88.59353174378609,17.385715948266146,14.649631630606374,19.526728129733232
QAFactEval,0.3333333333333333,8,86.95429709634428,17.211100458306323,14.370536598292725,19.478921069368802
QAFactEval,0.375,8,85.38433256063182,16.79136742940921,14.175997658843148,19.263269199671285
QAFactEval,0.4166666666666666,8,84.03075236887474,16.75967588917287,14.095179735145523,18.974894502768045
QAFactEval,0.4583333333333333,8,82.60632911009704,16.309158720935617,13.876230001532761,18.304898927842427
QAFactEval,0.5,8,81.02267326935394,16.09541801150453,13.281479677835144,18.226546733184435
QAFactEval,0.5416666666666666,8,79.73543731268393,15.789645260306298,13.238612403751286,17.76371735452102
QAFactEval,0.5833333333333333,8,78.01674587508236,15.543710300838928,12.701887443187147,17.94371497961129
