variant,dataset,n,mean_risk_increase_pp,median_risk_increase_pp
NoRiskCtrl,2Wiki,120,2.05975287088389,2.050584419262914
NoRiskCtrl,Mind2Web,120,2.1901782911404846,2.315233187675309
NoRiskCtrl,BFCL V1,120,2.5828060938565174,2.525227613319182
NoRiskCtrl,AgentDojo,120,2.5764961498996803,2.5889811655901207
SingleWindow,FEVER,120,1.1909351078578756,1.2617028277945368
SingleWindow,HotpotQA,120,1.5496343185325872,1.5022822517392667
SingleWindow,PubMedQA,120,1.6728472032919073,1.7063371836761523
SingleWindow,TAT-QA,120,1.697505667099515,1.7041263169044552
SingleWindow,2Wiki,120,1.9569674018681895,1.92978432602126
SingleWindow,Mind2Web,120,2.0672510592664937,2.036287623064738
SingleWindow,BFCL V1,120,2.1727687039884187,2.1507455999548455
SingleWindow,AgentDojo,120,2.2626044367412566,2.280119736480977
Full PCG-MAS,ALL_DATASETS,960,0.5754469885836883,0.6275863991737162
- $V_H$,ALL_DATASETS,960,2.8103936923886925,2.7539357026982216
- $V_\Pi$,ALL_DATASETS,960,4.337564048736359,4.330932625038896
- $V_\Gamma$,ALL_DATASETS,960,2.6079382679001664,2.6240110496354245
- $V_\vdash$,ALL_DATASETS,960,4.94112147171425,4.940503956736962
NoReplay,ALL_DATASETS,960,4.052590080105397,4.105069862061099
NoPrune,ALL_DATASETS,960,2.3166308729336462,2.3264407332777797
NoRiskCtrl,ALL_DATASETS,960,2.043882784676536,2.0150906674540705
SingleWindow,ALL_DATASETS,960,1.8213142373307805,1.8180607548487062
