panel,stratum_type,stratum_label,n_cells,delta_pcg_minus_best_pp,pcg_risk_advantage_pp,observed_min_pp,observed_max_pp,favourable_cells,unfavourable_cells,tie_cells,smallest_advantage_cell_id,smallest_advantage_pp,best_applicable_method,sort_rank
C,CELL,07-02,1,-0.78957795170351197,0.78957795170351197,0.78957795170351197,0.78957795170351197,1,0,0,07-02,0.78957795170351197,SignalMatchedFusion,2
C,CELL,04-01,1,-1.0806779865833791,1.0806779865833791,1.0806779865833791,1.0806779865833791,1,0,0,04-01,1.0806779865833791,SignalMatchedFusion,3
C,CELL,01-02,1,-1.1589755424477666,1.1589755424477666,1.1589755424477666,1.1589755424477666,1,0,0,01-02,1.1589755424477666,SignalMatchedFusion,4
C,CELL,03-04,1,-1.1640480614032995,1.1640480614032995,1.1640480614032995,1.1640480614032995,1,0,0,03-04,1.1640480614032995,SignalMatchedFusion,5
C,CELL,06-01,1,-1.2091901269132954,1.2091901269132954,1.2091901269132954,1.2091901269132954,1,0,0,06-01,1.2091901269132954,SignalMatchedFusion,6
C,CELL,02-02,1,-1.2269156417323881,1.2269156417323881,1.2269156417323881,1.2269156417323881,1,0,0,02-02,1.2269156417323881,SignalMatchedFusion,7
C,CELL,07-01,1,-1.2449289514783557,1.2449289514783557,1.2449289514783557,1.2449289514783557,1,0,0,07-01,1.2449289514783557,SignalMatchedFusion,8
C,CELL,04-05,1,-1.2599407365689199,1.2599407365689199,1.2599407365689199,1.2599407365689199,1,0,0,04-05,1.2599407365689199,SignalMatchedFusion,9
C,CELL,03-01,1,-1.2691298805134681,1.2691298805134681,1.2691298805134681,1.2691298805134681,1,0,0,03-01,1.2691298805134681,SignalMatchedFusion,10
C,CELL,05-05,1,-1.3783667488927041,1.3783667488927041,1.3783667488927041,1.3783667488927041,1,0,0,05-05,1.3783667488927041,SignalMatchedFusion,11
C,CELL,06-03,1,-1.3918109262451894,1.3918109262451894,1.3918109262451894,1.3918109262451894,1,0,0,06-03,1.3918109262451894,SignalMatchedFusion,12
C,CELL,05-01,1,-1.4034863896674841,1.4034863896674841,1.4034863896674841,1.4034863896674841,1,0,0,05-01,1.4034863896674841,SignalMatchedFusion,13
C,CELL,05-03,1,-1.4618506687182349,1.4618506687182349,1.4618506687182349,1.4618506687182349,1,0,0,05-03,1.4618506687182349,SignalMatchedFusion,14
C,CELL,02-04,1,-1.5209185320262684,1.5209185320262684,1.5209185320262684,1.5209185320262684,1,0,0,02-04,1.5209185320262684,SignalMatchedFusion,15
C,CELL,04-03,1,-1.5740962822998681,1.5740962822998681,1.5740962822998681,1.5740962822998681,1,0,0,04-03,1.5740962822998681,SignalMatchedFusion,16
C,CELL,03-02,1,-1.5909748246534878,1.5909748246534878,1.5909748246534878,1.5909748246534878,1,0,0,03-02,1.5909748246534878,CMVO,17
C,CELL,05-04,1,-1.6354081552898003,1.6354081552898003,1.6354081552898003,1.6354081552898003,1,0,0,05-04,1.6354081552898003,SignalMatchedFusion,18
C,CELL,07-03,1,-1.6835767976705842,1.6835767976705842,1.6835767976705842,1.6835767976705842,1,0,0,07-03,1.6835767976705842,SignalMatchedFusion,19
