model,dataset,method,applicable,authority
Nemotron 3 120B-A12B,HotpotQA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,PubMedQA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,PubMedQA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,PubMedQA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,PubMedQA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,PubMedQA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,PubMedQA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,PubMedQA,PCG-MAS,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,TAT-QA,NoCert,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,TAT-QA,MiniCheck,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,TAT-QA,AlignScore,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,TAT-QA,QAFactEval,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,TAT-QA,CMVO,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
Nemotron 3 120B-A12B,TAT-QA,SignalMatchedFusion,True,14_artifacts/manuscript_stack/data/cell_metrics.csv
